Name,City,STATE,Greatest Snowfall,GreatestEndingDate,ValidDateRange,1 days QTY,1 days DATE,2 days QTY,2 days DATE,3 days QTY,3 days DATE,First 2 inches
CONCORDIA MUNI AP,Concordia,KS,58,12/31/1960, 1893-01-01 to 2017-06-06,13.2,2/11/1965,17.2,3/17/1924,17.2,3/18/1924,10/9/1970
PADUCAH BARKLEY RGNL AP,Paducah,KY,37.7,12/31/1960, 1949-08-01 to 2017-06-05,14,12/22/2004,14.2,12/23/2004,14.2,12/24/2004,10/30/1993
LEXINGTON BLUEGRASS AP,Lexington,KY,62.8,12/31/1917, 1887-10-24 to 2017-06-06,13.4,1/26/1943,17.1,3/5/2015,17.1,3/6/2015,10/30/1925
JACKSON JULIAN CARROLL AP,Jackson,KY,53.7,12/31/1996, 1981-01-01 to 2017-06-06,19.8,3/13/1993,20.3,3/13/1993,20.4,3/13/1993,10/31/1993
CINCINNATI/NORTHERN KENTUCKY I,Cincinnati,KY,53.9,12/31/1977, 1948-01-01 to 2017-06-06,11.8,2/4/1998,18.3,2/5/1998,18.5,2/6/1998,10/19/1989
LOUISVILLE INTL AP,Louisville,KY,43.1,12/31/1978, 1945-07-01 to 2017-06-06,15.5,1/17/1994,15.9,1/17/1994,19.2,2/6/1998,10/30/1993
LAKE CHARLES RGNL AP,Lake Charles,LA,4,12/31/1973, 1961-11-01 to 2017-06-06,4,1/11/1973,4,1/12/1973,4,1/13/1973,1/1/1973
BATON ROUGE RYAN AP,Baton Rouge,LA,3.5,12/31/1940, 1930-01-01 to 2017-06-06,3.5,1/23/1940,3.5,1/24/1940,3.5,1/25/1940,1/23/1940
SHREVEPORT RGNL AP,Shreveport,LA,14,12/31/1948, 1939-07-01 to 2017-06-06,7.9,1/19/1948,7.9,1/20/1948,7.9,1/21/1948,12/16/1983
NEW ORLEANS INTL AP,New Orleans,LA,2.7,12/31/1963, 1948-01-01 to 2017-06-06,2.7,12/31/1963,2.7,1/1/1964,2.7,1/2/1964,12/31/1963
BLUE HILL,Blue Hill,MA,141.1,12/31/2015, 1893-04-01 to 2017-06-07,27.4,2/24/1969,34.6,2/25/1969,37.8,2/26/1969,
WORCESTER,Worcester,MA,120.6,12/31/2005, 1948-06-01 to 2017-06-06,31.9,1/27/2015,34.5,1/27/2015,34.5,1/28/2015,10/10/1979
BOSTON,Boston,MA,108.6,12/31/2015, 1936-01-01 to 2017-06-06,23.6,2/17/2003,27.6,2/18/2003,27.6,2/19/2003,11/11/1987
BALTIMORE-WASHINGTON INTL AP,Baltimore,MD,59.7,12/31/1996, 1939-07-01 to 2017-06-06,25.5,1/23/2016,29.2,1/23/2016,29.2,1/24/2016,11/6/1953
PORTLAND INTL JETPORT,Portland,ME,150.1,12/31/1956, 1940-11-27 to 2017-06-06,22.3,12/17/1970,31.9,2/9/2013,31.9,2/10/2013,10/22/1969
CARIBOU MUNI AP,Caribou,ME,176.8,12/31/2008, 1939-06-01 to 2017-06-06,28.6,3/14/1984,29,3/14/1984,33.1,12/27/2005,9/29/1991
MARQUETTE WSO AP,Marquette,MI,296.2,12/31/2002, 1959-10-01 to 2017-06-06,26.2,3/14/1997,31.9,3/14/1997,49.4,12/9/1977,10/10/1967
LANSING CAPITAL CITY AP,Lansing,MI,86.3,12/31/2008, 1948-01-01 to 2017-06-06,15.4,1/26/1967,24,1/27/1967,24,1/28/1967,10/19/1989
DETROIT METRO AP,Detroit,MI,82.6,12/31/2008, 1958-12-01 to 2017-06-06,18.4,12/1/1974,19.3,12/2/1974,19.5,12/3/1974,10/19/1989
GRAND RAPIDS INTL AP,Grand Rapids,MI,143.7,12/31/2008, 1963-11-24 to 2017-06-06,16.1,1/26/1978,21.5,12/27/2001,28.2,12/27/2001,10/12/2006
FLINT BISHOP INTL AP,Flint,MI,228.4,12/31/1893, 1893-01-01 to 2017-06-06,30,01/24/1894,50,01/24/1894,50,01/25/1894,10/12/2006
ALPENA CO RGNL AP,Alpena,MI,146,12/31/1985, 1916-10-21 to 2017-06-06,18.2,2/22/1922,22,1/27/1978,25.1,12/15/1989,10/22/1969
SAULT STE MARIE SANDERSON FLD,Sault Ste Marie,MI,208.8,12/31/1995, 1888-09-01 to 2017-06-06,26.6,12/10/1995,46,12/10/1995,56.5,12/11/1995,9/20/1956
HOUGHTON LK ROSCOMMON AP,Houghton,MI,116.7,12/31/1971, 1964-07-01 to 2017-06-06,15.4,1/26/1978,17,1/27/1978,17.5,1/27/1978,10/2/2003
MINNEAPOLIS/ST PAUL AP,Minneapolis/St Paul,MN,101.5,12/31/1983, 1938-04-09 to 2017-06-06,18.5,11/1/1991,26.7,11/1/1991,34.6,1/22/1982,10/10/1977
DULUTH INTL AP,Duluth,MN,168.9,12/31/1950, 1948-01-01 to 2017-06-06,24.1,11/1/1991,32.6,11/2/1991,36.8,11/2/1991,9/18/1991
INTL FALLS INTL AP,International Falls,MN,131.8,12/31/1992, 1907-09-01 to 2017-06-06,14.1,1/10/1975,21.5,1/11/1975,23.5,1/11/1975,10/1/1981
ST CLOUD RGNL AP,St Cloud,MN,84.3,12/31/2013, 1904-11-10 to 2017-06-06,14.5,3/1/1965,20.5,3/2/1965,21.7,3/3/1965,10/12/1969
ROCHESTER INTL AP,Rochester,MN,89,12/31/1985, 1893-01-01 to 2017-06-06,19.8,3/18/2005,20.1,3/19/2005,20.2,3/19/2005,10/15/1969
SPRINGFIELD WBO,Springfield,MO,40.2,12/31/1912, 1887-10-01 to 2017-04-30,18,2/20/1912,20,2/21/1912,20,2/22/1912,11/1/1951
ST LOUIS LAMBERT INTL AP,St Louis,MO,49.2,12/31/1977, 1931-06-01 to 2017-06-05,12.4,3/24/2013,13.9,1/31/1982,13.9,2/1/1982,11/5/1951
COLUMBIA RGNL AP,Columbia ,MO,49.2,12/31/1978, 1969-10-15 to 2017-06-05,18,1/19/1995,19.7,1/19/1995,19.7,1/20/1995,11/6/1991
KANSAS CITY DOWNTOWN AP,Kansas City,MO,63,12/31/1960, 1934-01-01 to 2017-01-18,11.8,1/18/1962,14.6,1/21/1958,14.6,1/22/1958,10/22/1996
JACKSON INTL AP,Jackson,MS,9.1,12/31/1960, 1951-01-01 to 2017-06-06,6,2/13/1960,9.1,2/13/1960,9.1,2/14/1960,12/14/1997
MERIDIAN KEY FLD,Meridian,MS,19.6,12/31/1963, 1944-06-01 to 2017-06-06,14,12/31/1963,15,1/1/1964,15,1/2/1964,12/20/1963
TUPELO RGNL AP,Tupelo,MS,11,12/31/1968, 1962-11-08 to 2017-06-06,8,3/22/1968,11,3/23/1968,11,3/24/1968,12/22/1963
BILLINGS INTL AP,Billings,MT,126.9,12/31/1955, 1934-08-23 to 2017-06-06,23.7,4/4/1955,39.1,4/4/1955,41.3,4/4/1955,9/7/1962
HELENA AP ASOS,Helena,MT,91.5,12/31/1967, 1939-05-01 to 2017-06-06,18.8,11/11/1959,21.7,11/12/1959,21.7,11/13/1959,8/22/1992
MISSOULA INTL AP,Missoula,MT,106.1,12/31/1996, 1948-01-01 to 2017-06-06,14.4,2/7/1975,17.9,12/25/1996,22.1,12/26/1996,10/7/1985
GLASGOW INTL AP,Glasgow,MT,83.4,12/31/2011, 1948-01-01 to 2017-06-06,12.8,10/12/2008,14.3,12/27/2003,14.4,12/28/2003,9/24/1951
KALISPELL GLACIER AP,Kalispell,MT,143.8,12/31/1996, 1896-12-01 to 2017-06-06,25,03/20/1898,26,03/20/1898,26.8,1/2/2009,9/21/1968
CHARLOTTE DOUGLAS AP,Charlotte,NC,22.9,12/31/1960, 1939-07-01 to 2017-06-06,12.1,1/7/1988,13.2,2/27/2004,13.2,2/28/2004,11/19/2000
ASHEVILLE,Asheville,NC,49.3,12/31/1969, 1876-11-20 to 2017-05-21,16,3/13/1993,20,3/13/1993,20.3,3/14/1993,11/1/2014
RALEIGH AP,Raleigh,NC,28.1,12/31/2000, 1944-05-18 to 2017-06-06,17.9,1/25/2000,20.3,1/25/2000,20.3,1/26/2000,11/19/2000
WILMINGTON INTL AP,Wilmington,NC,16.1,12/31/1989, 1933-01-01 to 2017-06-06,9.6,12/23/1989,14.3,12/24/1989,15.3,12/24/1989,12/1/1958
CAPE HATTERAS - BILLY MITCHELL,Cape Hatteras,NC,13.8,12/31/1989, 1957-03-01 to 2017-06-06,8.2,12/23/1989,13.3,12/24/1989,13.3,12/25/1989,12/16/1988
FARGO HECTOR INTL AP,Fargo,ND,98.1,12/31/1996, 1892-12-30 to 2017-06-06,16.3,1/22/1982,24.3,1/7/1989,24.4,1/8/1989,10/24/2001
BISMARCK MUNI AP,Bismarck,ND,103.1,12/31/1996, 1886-01-01 to 2017-06-05,17.3,4/14/2013,19,3/4/1966,23.5,11/25/1993,9/12/2003
