Name,City,STATE,Greatest Snowfall,GreatestEndingDate,ValidDateRange,1 days QTY,1 days DATE,2 days QTY,2 days DATE,3 days QTY,3 days DATE,First 2 inches
KNOXVILLE MCGHEE TYSON AP,Knoxville,TN,54.4,12/31/1960, 1910-01-01 to 2017-06-06,17.5,2/13/1960,18.8,2/14/1960,18.8,2/15/1960,11/21/1952
DALLAS FAA AP,Dallas,TX,14.1,12/31/1978, 1939-08-01 to 2017-06-06,7.8,2/11/2010,8.8,2/12/2010,8.8,2/13/2010,11/13/1976
BROWNSVILLE INTL AP,Brownsville,TX,1.5,12/31/2004, 1898-12-01 to 2017-06-06,1.5,12/25/2004,1.5,12/26/2004,1.5,12/27/2004,
SAN ANTONIO INTL AP,San Antonio,TX,15.9,12/31/1985, 1946-09-01 to 2017-06-06,13.2,1/12/1985,13.5,1/13/1985,13.5,1/14/1985,1/2/1985
HOUSTON HOBBY AP,Houston,TX,4.4,12/31/1960, 1932-03-10 to 2017-06-06,4.4,2/12/1960,4.4,2/13/1960,4.4,2/14/1960,1/11/1973
AUSTIN-CAMP MABRY,Austin,TX,8.7,12/31/1985, 1938-06-01 to 2017-06-06,6.5,1/30/1949,7,1/14/1944,7,1/15/1944,11/8/1955
EL PASO INTL AP,El Paso,TX,32.7,12/31/1987, 1942-12-01 to 2017-06-06,14.5,12/13/1987,22.4,12/14/1987,22.4,12/15/1987,11/7/1990
MIDLAND INTL AP,Midland,TX,12.1,12/31/1992, 1933-02-10 to 2017-06-06,10.6,1/9/2012,10.6,1/10/2012,10.6,1/11/2012,11/8/1968
ABILENE RGNL AP,Abilene,TX,18.6,12/31/1983, 1944-03-01 to 2017-06-06,9.3,4/5/1996,9.3,4/6/1996,9.3,4/7/1996,11/8/2000
LUBBOCK INTL AP,Lubbock,TX,36.3,12/31/1983, 1947-01-01 to 2017-06-06,12.1,2/20/1961,16.9,1/21/1983,16.9,1/22/1983,10/28/1976
WICHITA FALLS MUNI AP,Wichita Falls,TX,20,12/31/1905, 1897-01-01 to 2017-06-06,9.8,1/18/1925,9.9,3/5/1989,9.9,3/6/1989,11/1/1951
AMARILLO INTL AP,Amarillo,TX,46.7,12/31/1983, 1941-04-01 to 2017-06-06,19,2/25/2013,20.2,12/27/2000,20.5,12/27/2000,10/8/1970
SALT LAKE CITY INTL AP,Salt Lake City,UT,108.3,12/31/1996, 1928-05-01 to 2017-06-06,13.8,10/18/1984,20.4,2/25/1998,23,2/26/1998,9/17/1965
NORFOLK INTL AP,Norfolk,VA,41.9,12/31/1980, 1946-01-01 to 2017-06-06,13.6,2/18/1989,14.8,2/18/1989,15.4,2/19/1989,12/6/1954
ROANOKE RGNL AP,Roanoke,VA,72.5,12/31/1960, 1948-01-01 to 2017-06-06,15.4,2/13/1960,24.9,1/7/1996,24.9,1/8/1996,11/4/1970
LYNCHBURG INTL AP,Lynchburg,VA,56,12/31/1966, 1944-07-01 to 2017-06-06,14.3,1/7/1996,21.4,1/7/1996,21.4,1/8/1996,11/2/1954
RICHMOND INTL AP,Richmond,VA,47,12/31/1962, 1930-01-01 to 2017-06-06,19.9,1/24/1940,21.6,1/24/1940,21.6,1/25/1940,11/6/1953
WALLOPS ISLAND FLIGHT FAC,Wallops Island,VA,42.4,12/31/2010, 1966-10-01 to 2017-06-06,10.2,12/26/2010,11.7,12/26/2010,11.7,12/27/2010,11/12/1976
WASHINGTON REAGAN NATL AP,Arlington,VA,44.6,12/31/1996, 1941-08-01 to 2017-06-06,16.4,2/11/1983,18.7,2/19/1979,18.7,2/20/1979,11/6/1953
WASHINGTON DULLES INTL AP,Washington D.C.,VA,58.4,12/31/1996, 1960-04-01 to 2017-06-06,22.5,2/11/1983,32.4,2/6/2010,32.4,2/7/2010,11/11/1987
MT MANSFIELD,Mount Mansfield,VT,326.8,12/31/2007, 1954-11-23 to 2017-06-06,28,3/15/2017,37.1,3/16/2017,45.1,3/16/2017,
BURLINGTON WSO AP,Burlington,VT,131.6,12/31/2007, 1943-06-04 to 2017-06-06,25.3,2/14/2007,35.3,1/3/2010,37.6,1/3/2010,10/20/2006
YAKIMA AP,Yakima,WA,74,12/31/1996, 1946-09-06 to 2017-06-06,14.8,11/19/1996,18.9,11/19/1996,19.6,12/23/1964,10/28/1991
SEATTLE TACOMA INTL AP,Seattle,WA,60.6,12/31/1950, 1945-01-01 to 2017-06-06,20,1/13/1950,24,1/14/1950,25.6,1/15/1950,10/27/1971
SPOKANE INTL AP,Spokane,WA,132.6,12/31/2008, 1893-01-01 to 2017-06-06,12.7,1/21/1954,23.6,12/18/2008,25,12/19/2008,
OLYMPIA AP,Olympia,WA,60.1,12/31/1969, 1948-01-01 to 2017-06-06,14.2,1/24/1972,22.5,1/25/1972,22.9,1/25/1972,11/17/1955
HUNTINGTON TRI-STATE AP,Huntington,WV,50.8,12/31/1978, 1961-01-05 to 2017-06-06,21.1,3/13/1993,21.9,3/14/1993,22.6,3/14/1993,11/10/1987
BECKLEY RALEIGH CO AP,Beckley,WV,142.7,12/31/2010, 1963-05-15 to 2017-06-06,27.7,3/13/1993,29.6,3/14/1993,30.9,3/14/1993,10/10/1979
CHARLESTON - YEAGER AP,Charleston,WV,70.5,12/31/1996, 1948-10-01 to 2017-06-06,17.1,3/13/1993,18.9,3/14/1993,23.3,1/8/1996,10/20/1961
SNOWSHOE,Snowshoe,WV,281.1,12/31/1981, 1975-02-01 to 2017-06-07,26,3/14/1993,37,1/8/1996,39,1/8/1996,
ELKINS- RANDOLPH CO AP,Elkins,WV,124.5,12/31/1987, 1926-01-01 to 2017-06-05,19.9,12/19/2009,22.6,1/8/1996,28.2,11/26/1950,10/10/1979
MILWAUKEE WSFO,Waukesha,WI,118.8,12/31/2008, 1995-01-01 to 2017-05-10,14.2,3/22/2008,16.3,2/7/2008,17,2/8/2008,
MADISON DANE RGNL AP,Madison,WI,111.1,12/31/2008, 1939-10-01 to 2017-06-06,17.3,12/3/1990,17.3,12/4/1990,19,2/25/1994,10/10/1990
LA CROSSE MUNI AP,La Crosse,WI,91.4,12/31/1959, 1938-04-01 to 2017-06-06,14.4,12/3/1990,18.5,3/6/1959,21,2/25/2007,11/1/1991
MILWAUKEE MITCHELL AP,Milwaukee,WI,106.6,12/31/2008, 1938-04-03 to 2017-06-06,16.7,2/10/1960,20.1,2/6/1974,23.6,2/6/1974,10/19/1989
GREEN BAY A S INTL AP,Green Bay,WI,119.8,12/31/1887, 1886-09-01 to 2017-06-06,24,03/01/1888,29,03/02/1888,29,03/03/1888,10/12/1936
LANDER HUNT FLD AP,Lander,WY,199.9,12/31/1973, 1946-05-29 to 2017-06-06,28.6,4/22/1999,46.2,4/23/1999,51.7,4/23/1999,9/8/1962
CHEYENNE MUNI AP,Cheyenne,WY,107.4,12/31/1942, 1915-01-01 to 2017-06-06,19.8,11/20/1979,25.2,11/21/1979,25.6,11/21/1979,9/12/1989
LAKE YELLOWSTONE,Lake Yellowstone,WY,261,12/31/1909, 1904-01-19 to 2017-04-30,18,1/7/1965,30,1/21/1969,38,1/21/1969,
CASPER NATRONA CO AP,Casper,WY,137.6,12/31/1982, 1948-08-01 to 2017-06-06,24.3,12/24/1982,31.3,12/24/1982,31.3,12/25/1982,9/11/1974
